cg00000292,chr16:28797601,ATP2A1,exonic
cg00002426,chr3:57718583,SLMAP,exonic
cg00003994,chr7:15692387,MEOX2,exonic
cg00005847,chr2:176737319,HOXD3,intronic
cg00006414,chr7:148453770,ZNF425,intronic
cg00007981,chr11:93502242,PANX1,exonic
cg00008493,chr14:92883530,COX8C-UNC79,intronic
cg00008713,chr18:11970953,IMPA2,upstream
cg00009407,chr14:88360674,TTC8,upstream
cg00011459,chr16:8797926,TMEM186,exonic
cg00012386,chr1:225989135,JMJD4,exonic
cg00012792,chr6:8009492,BLOC1S5-TXNDC5-EEF1E1-MUTED,ncRNA_intronic
cg00014085,chr2:85435016,RETSAT,exonic
cg00014837,chr12:6627518,ACRBP,upstream
cg00015770,chr4:122521457,QRFPR,UTR5
cg00016968,chr1:113051971,RHOC,upstream
cg00019495,chr4:57242282,HOPX,UTR5
cg00020533,chr6:35588894,TULP1,upstream
cg00021527,chr17:31160293,TAF15,upstream
cg00022606,chr20:390445,TBC1D20,intronic
cg00022866,chr11:63865016,CCDC88B,exonic
cg00024396,chr6:53321967,ELOVL5,upstream
cg00024812,chr2:9481699,CPSF3,intronic
cg00025138,chr14:70345670,MAP3K9,upstream
cg00027083,chr18:5533801,EPB41L3,intronic
cg00027674,chr11:87548545,RAB38,upstream
cg00029826,chr14:19871299,CCNB1IP1,UTR5
cg00029931,chrX:100532397,RPL36A-RPL36A-HNRNPH2,upstream
cg00030047,chr1:6191377,RNF207,intronic
cg00031162,chr17:7394101,TNFSF12-TNFSF12-TNFSF13,intronic
cg00032227,chr17:70284107,NAT9-TMEM104,upstream
cg00032666,chrX:149364056,MAMLD1,intronic
cg00033516,chr4:38343168,KLF3,intronic
cg00033773,chr19:12640366,WDR83OS,exonic
cg00034039,chr9:73716086,C9orf85-FAM108B1,upstream
cg00035347,chr10:104943598,NT5C2,upstream
cg00035623,chr19:60611648,UBE2S,upstream
cg00037763,chr18:40535761,SETBP1,exonic
cg00040861,chr19:2279391,LSM7,exonic
cg00040873,chr16:1949158,NDUFB10,upstream
cg00041575,chr11:2279317,C11orf21,intronic
cg00042156,chr10:42290848,LINC00839,upstream
cg00043004,chr16:1970893,NOXO1,intronic
cg00043080,chr19:45544995,C19orf47,intronic
cg00044245,chr6:94185610,EPHA7,intronic
cg00047050,chr11:107384641,CUL5,UTR5
cg00047469,chr9:115212389,POLE3,exonic
cg00049986,chr14:34661165,PPP2R3C,UTR5
cg00050312,chr17:61729527,PRKCA,exonic
cg00051979,chr10:95452151,FRA10AC1,UTR5
cg00053292,chr17:59032032,TACO1,UTR5
cg00053647,chr7:6832597,CCZ1B,upstream
cg00054706,chr2:68143476,C1D,intronic
cg00055233,chr9:5329677,RLN1,exonic
cg00056767,chr13:43351183,CCDC122,intronic
cg00057593,chr8:143913961,GML,intronic
cg00058938,chr19:45416573,TTC9B,upstream
cg00059225,chr5:151284550,GLRA1,UTR5
cg00059424,chr22:29318148,PES1,upstream
cg00059740,chr7:134506229,C7orf49,upstream
cg00059930,chr13:47792383,RB1,intronic
cg00060762,chr15:50051425,LEO1,upstream
cg00060882,chrX:23982732,EIF2S3,upstream
cg00061059,chr19:14501983,TECR,intronic
cg00061629,chr11:44281834,ALX4,intronic
cg00062776,chr19:54094236,NUCB1-TULP2,upstream
cg00063144,chr17:36807581,KRT31,upstream
cg00065408,chr12:47498742,CACNB3,UTR5
cg00066153,chr11:125055954,ACRV1,UTR5
cg00066816,chr5:158690931,IL12B-LOC285626,upstream
cg00067471,chr19:1192377,ATP5D,upstream
cg00069261,chr16:22294032,CDR2,upstream
cg00071250,chr1:170894886,FASLG,UTR5
cg00071998,chr6:31816100,MSH5-SAPCD1,ncRNA_intronic
cg00072216,chr4:2233436,MXD4,intronic
cg00073650,chr16:87449667,GALNS,intronic
cg00075967,chr15:72282407,STRA6,UTR5
cg00076645,chr5:171644167,UBTD2,upstream
cg00077457,chr1:90232588,GEMIN8P4,ncRNA_exonic
cg00077877,chr8:131483656,ASAP1,intronic
cg00078194,chr11:46359525,MDK,intronic
cg00078867,chrX:48427342,WAS,intronic
cg00079056,chr9:33229641,SPINK4,upstream
cg00079563,chr22:41583465,ARFGAP3,upstream
cg00080012,chr11:85633337,EED,upstream
cg00081935,chr12:3057167,TSPAN9,intronic
cg00081975,chr17:46067369,ABCC3,intronic
cg00083720,chr20:17498917,DSTN,intronic
cg00083937,chr22:49386671,MAPK8IP2,intronic
cg00084687,chr7:91914832,GATAD1,UTR5
cg00090147,chr8:11599776,GATA4,intronic
cg00091693,chr17:36295128,KRT20,upstream
cg00093177,chr17:34439021,LRRC37A11P,upstream
cg00094319,chr13:24568530,PABPC3,exonic
cg00094851,chr2:26059210,KIF3C,upstream
cg00095526,chr1:199348309,CACNA1S,UTR5
cg00095674,chr1:148389278,PLEKHO1,intronic
cg00096922,chr7:96492121,DLX5,upstream
cg00097536,chr2:43307980,LOC100129726,ncRNA_exonic
cg00098239,chr19:7505173,PNPLA6,UTR5
cg00099550,chr10:43224444,HNRNPF,intronic
cg00101227,chr1:159546890,MPZ,upstream
cg00103783,chr17:7427973,MPDU1,exonic
cg00105253,chr14:104718239,NUDT14,intronic
cg00105470,chr1:226357491,C1orf35,exonic
cg00107187,chr14:104142043,TMEM179,exonic
cg00107488,chr22:18310437,COMT,intronic
