cg00000292,ATP2A1,chr16:28797601,exonic
cg00002426,SLMAP,chr3:57718583,exonic
cg00003994,MEOX2,chr7:15692387,exonic
cg00005847,HOXD3,chr2:176737319,intronic
cg00006414,ZNF425,chr7:148453770,intronic
cg00007981,PANX1,chr11:93502242,exonic
cg00008493,COX8C-UNC79,chr14:92883530,intronic
cg00008713,IMPA2,chr18:11970953,upstream
cg00009407,TTC8,chr14:88360674,upstream
cg00011459,TMEM186,chr16:8797926,exonic
cg00012386,JMJD4,chr1:225989135,exonic
cg00012792,BLOC1S5-TXNDC5-EEF1E1-MUTED,chr6:8009492,ncRNA_intronic
cg00014085,RETSAT,chr2:85435016,exonic
cg00014837,ACRBP,chr12:6627518,upstream
cg00015770,QRFPR,chr4:122521457,UTR5
cg00016968,RHOC,chr1:113051971,upstream
cg00019495,HOPX,chr4:57242282,UTR5
cg00020533,TULP1,chr6:35588894,upstream
cg00021527,TAF15,chr17:31160293,upstream
cg00022606,TBC1D20,chr20:390445,intronic
cg00022866,CCDC88B,chr11:63865016,exonic
cg00024396,ELOVL5,chr6:53321967,upstream
cg00024812,CPSF3,chr2:9481699,intronic
cg00025138,MAP3K9,chr14:70345670,upstream
cg00027083,EPB41L3,chr18:5533801,intronic
cg00027674,RAB38,chr11:87548545,upstream
cg00029826,CCNB1IP1,chr14:19871299,UTR5
cg00029931,RPL36A-RPL36A-HNRNPH2,chrX:100532397,upstream
cg00030047,RNF207,chr1:6191377,intronic
cg00031162,TNFSF12-TNFSF12-TNFSF13,chr17:7394101,intronic
cg00032227,NAT9-TMEM104,chr17:70284107,upstream
cg00032666,MAMLD1,chrX:149364056,intronic
cg00033516,KLF3,chr4:38343168,intronic
cg00033773,WDR83OS,chr19:12640366,exonic
cg00034039,C9orf85-FAM108B1,chr9:73716086,upstream
cg00035347,NT5C2,chr10:104943598,upstream
cg00035623,UBE2S,chr19:60611648,upstream
cg00037763,SETBP1,chr18:40535761,exonic
cg00040861,LSM7,chr19:2279391,exonic
cg00040873,NDUFB10,chr16:1949158,upstream
cg00041575,C11orf21,chr11:2279317,intronic
cg00042156,LINC00839,chr10:42290848,upstream
cg00043004,NOXO1,chr16:1970893,intronic
cg00043080,C19orf47,chr19:45544995,intronic
cg00044245,EPHA7,chr6:94185610,intronic
cg00047050,CUL5,chr11:107384641,UTR5
cg00047469,POLE3,chr9:115212389,exonic
cg00049986,PPP2R3C,chr14:34661165,UTR5
cg00050312,PRKCA,chr17:61729527,exonic
cg00051979,FRA10AC1,chr10:95452151,UTR5
cg00053292,TACO1,chr17:59032032,UTR5
cg00053647,CCZ1B,chr7:6832597,upstream
cg00054706,C1D,chr2:68143476,intronic
cg00055233,RLN1,chr9:5329677,exonic
cg00056767,CCDC122,chr13:43351183,intronic
cg00057593,GML,chr8:143913961,intronic
cg00058938,TTC9B,chr19:45416573,upstream
